field_count,name,habitat,mon,year,sex,age,soil,slope,aspect,origarea,agescale,slopescale,aspectscale,origareascale
0,Bruiser,Pasture,Apr,2010,male,5,AminDP,5.41,170.94,5.0423,0.444379672,-1.522200069,3.016208253,1.588017372
0,Bruiser,Pasture,Apr,2010,male,5,AminSP,7.08,131.54,3.3514,0.444379672,0.147799931,-36.38379175,-0.102882628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,8.62,156.97,3.1321,0.444379672,1.687799931,-10.95379175,-0.322182628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,7.99,79.95,5.1949,0.444379672,1.057799931,-87.97379175,1.740617372
1,Bruiser,Unknown,Apr,2010,male,4,AminDP,5.83,178.52,1.8451,-0.555620328,-1.102200069,10.59620825,-1.609182628
2,Bruiser,Woodland,Apr,2010,male,4,AminDP,8.56,124.96,1.2812,-0.555620328,1.627799931,-42.96379175,-2.173082628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,4.28,182.46,0.6232,0.444379672,-2.652200069,14.53620825,-2.831082628
1,Bruiser,Woodland,Apr,2010,male,4,AlluvMIN,5.09,162.07,5.1842,-0.555620328,-1.842200069,-5.853791747,1.729917372
0,Bruiser,Arable,Apr,2010,male,5,AminDW,9.21,143,5.2679,0.444379672,2.277799931,-24.92379175,1.813617372
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,10.29,93.89,3.2996,0.444379672,3.357799931,-74.03379175,-0.154682628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,7.95,40.85,1.8067,0.444379672,1.017799931,-127.0737917,-1.647582628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,4.54,77.18,0.7622,0.444379672,-2.392200069,-90.74379175,-2.692082628
0,Bruiser,Pasture,Apr,2010,male,5,AminDW,8.6,79.17,2.7435,0.444379672,1.667799931,-88.75379175,-0.710782628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,7.93,75.09,2.3793,0.444379672,0.997799931,-92.83379175,-1.074982628
0,Bruiser,Pasture,Apr,2010,male,5,AminSW,13.51,202.86,3.8446,0.444379672,6.577799931,34.93620825,0.390317372
