"y","a","b","c","d","e"
122,0,131,0,8781,6
122,0,121,0,10210,10
122,0,126,1,4722,22
98,0,112,1,3810,7
92,0,130,1,5355,20
92,0,124,1,2257,12
120,0,110,1,4151,17
98,0,109,1,6069,3
82,0,121,1,8315,11
131,0,118,0,4152,17
98,0,114,0,8780,6
102,0,130,0,2464,4
98,0,119,0,1861,12
102,0,130,0,3692,14
120,0,112,1,1862,12
142,0,115,1,4153,17
153,1,111,0,8782,6
109,0,109,1,2466,4
96,0,132,0,7061,19
112,0,123,1,883,16
NA,NA,114,0,10211,10
77,0,108,0,2465,4
98,0,113,0,7059,19
153,0,129,1,862,16
109,1,111,0,11327,2
98,0,109,0,5908,20
142,0,122,0,11328,2
109,0,109,1,470,5
131,0,115,0,3811,7
120,0,116,0,864,16
87,0,109,0,9360,1
87,0,116,1,1863,12
120,0,108,1,10212,10
98,0,117,1,11873,2
131,0,119,0,4154,17
142,0,118,0,3551,14
122,0,122,1,8783,6
102,1,130,0,11324,2
109,0,114,1,7607,13
102,1,128,0,7063,19
102,0,126,0,8316,11
109,0,110,1,4156,17
120,0,109,1,5358,20
109,0,115,0,7608,13
92,0,128,1,9763,9
142,0,123,1,3812,7
109,0,119,0,4155,17
142,0,120,0,6689,8
87,0,109,0,10214,10
131,0,111,1,8786,6
122,0,128,0,3211,14
NA,0,132,1,4157,17
98,1,112,1,8317,11
112,0,130,1,13,15
122,0,130,0,6690,8
120,0,110,0,8318,11
112,0,126,0,1864,12
102,0,126,1,9764,9
102,1,120,0,8785,6
82,0,123,1,7065,19
132,0,123,1,14,15
122,0,123,0,10216,10
98,NA,111,0,1042,16
96,0,132,1,10936,18
92,0,128,0,5737,20
112,0,122,1,6692,8
109,0,109,0,4158,17
92,0,125,1,471,3
112,0,129,1,865,16
98,0,117,1,867,16
102,1,131,1,8320,11
66,0,109,0,3716,14
98,1,108,1,10217,10
102,0,122,1,11331,2
102,0,128,1,1054,16
120,0,111,1,10937,18
87,0,132,1,10218,10
109,0,116,1,4159,17
82,0,128,1,1865,12
120,0,119,1,870,16
122,0,125,1,7609,13
112,0,123,1,11856,2
92,0,123,0,10219,10
98,0,114,0,871,16
122,0,122,1,8787,6
131,NA,119,0,6693,8
120,1,119,1,472,5
109,1,110,1,872,16
112,0,126,1,2467,4
92,0,127,1,3552,14
102,1,123,1,8788,6
120,0,109,1,876,16
92,0,123,0,8790,6
131,0,116,1,11334,2
122,1,126,0,9361,1
109,0,111,0,4724,21
142,0,127,0,8789,6
153,0,120,1,5360,20
82,0,131,1,7067,19
98,0,118,0,2468,4
109,0,109,0,873,16
92,0,126,0,8685,11
102,0,127,1,8322,11
98,1,118,0,2469,4
131,0,114,1,4161,17
98,0,119,0,5361,20
102,0,130,1,4723,21
98,0,108,1,875,16
120,0,114,1,3813,7
82,0,121,0,15,15
92,0,124,1,7069,19
120,0,113,1,8792,6
112,0,123,1,6071,3
109,0,118,0,6694,8
131,0,112,1,17,15
120,0,119,0,8791,6
109,0,118,1,7610,13
131,0,118,1,7611,13
98,1,109,1,7612,13
92,0,127,1,4725,21
98,0,108,0,7614,13
77,0,117,0,7070,19
98,1,110,1,16,15
109,0,118,1,7586,13
98,1,117,1,458,5
112,0,124,0,10926,18
109,NA,117,0,0,15
92,0,125,1,3798,7
105,0,132,0,3189,14
87,0,132,0,10190,10
82,0,126,0,459,5
109,0,109,0,9348,1
87,0,116,0,10191,10
92,0,126,0,4711,21
109,1,117,0,7033,19
87,0,116,0,7034,19
102,0,124,1,9754,9
98,0,116,0,9350,1
109,1,109,0,10192,10
109,0,118,1,3191,14
120,0,117,0,601,5
109,0,112,1,10927,18
142,0,117,1,9755,9
98,0,115,0,3799,7
92,0,127,1,4712,21
120,0,110,1,9756,9
98,0,107,0,7587,13
92,0,120,0,10928,18
102,0,126,1,841,16
92,0,125,0,8305,11
122,0,123,0,4713,21
112,0,131,0,842,16
109,1,109,1,8306,11
98,0,118,1,7036,19
92,0,122,1,3193,14
120,0,109,1,843,16
92,0,129,1,5341,20
102,0,129,1,844,16
87,0,108,1,845,16
106,0,107,0,7589,13
102,0,124,1,8307,11
102,0,128,0,461,5
77,0,114,1,7038,19
120,0,118,1,8762,6
102,0,120,1,6677,8
98,0,111,1,847,16
109,0,108,0,4137,17
92,0,131,0,4715,21
72,1,128,1,5343,20
102,0,130,0,5345,20
92,1,130,0,3195,14
92,0,128,1,9757,9
120,0,115,0,3695,14
98,1,108,1,3800,7
82,0,129,1,11843,2
98,0,109,1,1841,12
131,0,115,1,848,16
82,0,128,0,2496,4
82,0,127,1,8451,11
131,0,119,0,6678,8
112,0,123,0,4138,17
153,0,113,1,8764,6
102,0,120,1,11314,2
92,0,129,1,9758,9
122,0,129,0,5898,20
102,0,130,0,8765,6
98,0,108,1,4139,17
82,1,131,0,6046,3
92,0,120,1,2447,4
120,0,119,1,4140,17
120,0,112,0,6679,8
122,0,131,1,4141,17
102,1,125,0,2448,4
142,1,128,1,1,15
109,0,108,1,9351,1
102,1,124,1,6048,3
87,0,119,0,6049,3
102,0,129,1,6051,3
98,0,116,1,462,5
120,0,115,1,3291,14
72,0,123,0,5348,20
131,0,108,0,10193,10
102,0,124,1,4143,17
98,0,110,1,6052,3
120,0,110,1,9759,9
92,NA,122,0,6053,3
82,0,129,0,10194,10
122,0,129,0,4716,21
122,NA,131,0,2449,4
131,0,112,1,4717,21
109,0,116,0,10929,18
109,0,108,0,10195,10
112,0,126,1,7590,13
120,0,118,0,10197,10
109,0,108,0,8309,11
106,0,107,1,6055,3
102,1,127,1,2450,4
102,0,126,0,3,15
87,0,108,0,10198,10
92,0,127,0,10930,18
122,0,127,1,5349,20
66,0,116,0,1843,12
82,0,120,0,4,15
131,1,111,0,11327,2
115,0,132,1,2451,4
131,0,114,1,3467,14
98,0,110,0,9352,1
109,0,108,0,2453,4
120,0,116,0,7040,19
112,0,119,1,9353,1
98,1,119,0,8261,13
109,NA,116,0,3688,14
122,0,131,1,1844,12
87,0,115,0,463,5
132,0,129,1,8310,11
98,0,116,1,7592,13
98,1,112,1,5,15
102,0,125,1,8767,6
98,0,118,0,3801,7
164,0,131,0,9354,1
92,0,124,1,10931,18
120,0,109,1,8768,6
87,0,115,0,6,15
112,1,121,1,4144,17
109,0,119,1,5350,20
92,0,121,0,8311,11
112,0,120,1,7042,19
173,0,123,0,849,16
102,0,130,1,9355,1
109,0,110,1,11835,2
120,0,108,0,2454,4
120,0,110,0,8769,6
102,1,128,1,4718,21
98,0,115,0,7044,19
82,0,128,0,6056,3
92,0,125,1,10200,10
98,1,110,0,3802,7
120,0,108,1,464,5
120,0,109,1,6680,8
142,0,118,0,465,5
109,0,110,0,8770,6
142,0,128,0,3211,14
NA,0,121,0,4719,21
109,1,107,1,1845,12
142,0,125,0,11318,2
142,0,114,1,4146,17
77,0,115,1,11,15
109,0,116,1,11700,2
120,0,118,1,466,5
98,0,118,1,6681,8
98,0,111,0,1846,12
98,1,111,0,1847,12
102,1,108,1,9,15
92,0,130,0,7046,19
122,0,129,0,10515,10
132,0,125,0,7593,13
72,0,129,0,8771,6
109,NA,119,1,10932,18
98,0,108,0,6057,3
98,0,110,1,7047,19
122,0,130,1,4720,22
87,0,108,1,1849,12
120,0,114,1,2455,4
92,0,122,0,7594,13
102,0,129,0,10202,10
92,0,127,0,7595,13
109,0,109,1,467,5
98,0,108,1,10203,10
77,1,116,0,1850,12
NA,0,110,0,997,16
122,0,123,0,4147,17
102,0,127,0,3804,7
138,0,122,1,10204,10
NA,0,116,0,9356,1
98,0,115,0,3805,7
142,0,120,1,8772,6
98,0,114,0,5351,20
109,0,111,1,10205,10
102,0,129,1,851,16
92,0,122,0,10206,10
55,0,111,1,10532,10
98,0,117,0,8773,6
120,0,108,1,9357,1
98,1,114,1,10208,10
92,0,128,0,3806,7
98,0,117,1,5869,20
109,0,112,1,6682,8
92,0,129,0,6059,3
98,0,117,1,7049,19
109,0,117,0,3808,7
98,0,109,0,7596,13
102,0,125,1,4148,17
102,0,120,1,6060,3
77,0,115,1,11,15
98,0,109,0,7597,13
102,0,121,0,4721,21
131,0,119,0,852,16
122,0,123,1,7051,19
120,0,109,1,2456,12
120,0,114,1,11592,2
102,0,120,1,3202,14
98,0,110,1,10933,18
164,0,111,0,7598,13
102,0,122,0,853,16
163,0,122,1,4150,17
120,NA,111,0,7599,13
120,0,115,0,6061,3
92,NA,122,0,2457,4
109,1,115,1,468,5
112,0,131,1,11778,2
87,0,109,0,2458,4
92,0,121,0,7053,19
112,0,121,1,12,15
109,0,110,0,2460,4
112,1,131,0,8774,6
120,0,109,0,8775,6
122,0,129,1,1851,12
82,0,123,1,854,16
122,1,126,1,2461,4
98,0,110,0,855,16
102,0,125,1,8312,11
122,0,124,1,10209,10
102,0,121,1,11786,2
87,1,111,0,3204,14
120,0,109,0,856,16
122,1,125,0,7055,19
112,1,130,0,11324,2
72,0,128,1,6062,3
54,0,116,0,1853,12
112,0,131,0,10934,18
77,0,132,0,6063,3
102,0,127,0,7813,13
87,0,119,0,5867,20
109,0,108,0,8313,11
102,0,120,0,1855,12
112,0,126,1,11326,2
77,1,108,0,858,16
112,0,130,0,10935,18
92,0,123,1,8314,11
92,0,129,0,6626,3
92,1,128,1,8776,6
131,0,109,0,7601,13
109,0,111,1,2462,4
122,0,131,0,7603,13
102,0,131,1,6683,8
102,0,122,1,9760,9
109,0,108,0,1856,12
92,0,130,1,7947,13
82,0,128,1,6066,3
122,0,122,1,469,5
87,0,116,0,7605,13
109,0,117,0,6684,8
112,0,122,0,9761,9
120,0,119,1,3450,14
109,0,117,1,3206,14
120,0,116,1,3809,7
120,0,114,0,2463,4
98,0,114,0,6067,3
112,0,123,1,8778,6
87,0,114,1,7057,19
98,0,114,0,6685,8
92,0,129,1,9359,1
NA,0,109,1,860,16
122,0,122,1,9762,9
131,0,108,1,7606,13
122,0,123,1,6687,8
92,0,121,0,6688,8
92,0,125,0,8779,6
98,0,114,1,1858,12
109,0,109,0,1859,12
82,0,123,1,6068,3
102,0,121,1,4015,7
102,0,123,0,4713,21
NA,0,129,0,9467,1
98,0,111,1,9897,9
72,0,131,1,584,5
142,0,131,1,11627,2
120,0,116,1,4314,17
120,0,118,0,3366,14
109,0,116,1,1092,16
132,1,126,0,5516,20
98,0,112,1,1093,16
122,0,127,1,5536,20
120,0,111,1,11017,18
98,0,113,1,4859,21
82,0,128,0,10388,10
87,0,112,0,11478,2
112,0,122,1,11480,2
92,0,130,1,5537,20
122,0,131,0,542,5
142,0,129,1,11536,2
98,0,113,1,6268,3
112,0,129,0,6624,3
153,0,124,0,2635,4
120,0,117,1,9898,9
92,1,126,0,4860,21
102,0,129,0,10593,10
120,0,109,1,9439,1
92,1,125,0,4315,17
102,0,125,1,4316,17
87,1,110,0,6053,3
92,0,130,1,1983,12
112,1,122,0,1178,16
122,0,123,1,9440,1
92,0,123,1,7776,13
98,0,110,1,11564,2
134,0,132,0,3896,7
132,0,115,1,8468,11
82,0,128,0,10446,10
92,1,121,0,4357,17
87,0,110,0,6269,3
102,1,131,0,6256,3
120,NA,114,1,8147,13
102,1,121,0,5402,20
112,0,131,0,2695,4
131,0,112,0,9859,9
87,0,108,1,10381,10
142,0,125,0,10382,10
102,0,129,0,1094,16
98,0,109,1,11018,18
98,0,111,0,2649,4
98,1,113,1,8432,11
122,0,124,0,6756,8
92,0,129,0,1482,16
112,0,125,1,116,15
98,0,119,0,117,15
186,0,113,1,2707,4
132,0,124,1,4876,21
98,0,111,1,10449,10
122,0,129,0,7225,19
82,1,124,1,1986,12
92,0,122,0,1096,16
120,0,108,0,4317,17
102,0,122,0,11019,18
98,0,119,0,1987,12
109,0,111,1,3367,14
131,0,111,0,4318,17
109,0,119,0,11482,2
102,0,128,0,3562,14
131,0,114,0,928,16
109,0,108,0,1180,16
92,0,125,0,1161,16
131,0,110,1,4908,21
102,0,122,1,10383,10
109,0,109,0,9860,9
122,0,129,1,6757,8
120,0,113,1,11020,18
98,0,116,0,1097,14
131,0,109,1,7777,13
102,0,120,1,4861,21
122,0,125,0,1162,16
87,0,110,0,8462,11
102,0,123,0,1181,16
109,0,113,0,11658,2
98,1,118,0,7197,19
109,0,115,1,5538,20
98,0,113,0,2650,4
82,0,129,1,1098,16
109,1,111,0,4319,17
92,NA,128,0,11504,2
109,0,108,0,10429,10
98,1,109,0,3409,14
87,0,108,0,3914,7
122,0,130,0,11485,2
109,0,108,1,2651,4
120,0,119,0,6222,3
109,1,117,1,3368,14
120,0,111,0,5592,20
72,0,128,1,9469,1
98,0,109,0,8433,11
122,0,127,1,1099,16
122,0,128,0,7227,19
109,0,116,1,1989,12
102,0,131,0,9861,9
102,0,125,1,2652,4
112,0,127,1,11021,18
109,0,115,1,1100,11
131,0,114,1,4320,17
132,0,124,0,6758,8
98,0,109,1,9471,1
72,0,131,0,1878,12
98,0,111,1,8463,11
142,0,126,0,7282,19
98,0,111,0,1101,16
112,0,121,0,8909,6
92,0,129,0,1990,12
112,0,120,1,873,16
77,0,112,0,7229,19
109,0,111,0,8435,11
87,0,109,1,9648,1
112,0,127,1,3214,14
72,0,129,0,3897,7
118,1,109,0,7778,13
142,0,111,1,1102,16
109,0,114,0,6072,3
